6;7374;null;0.979999999050051;2082.44
6;4722;null;0.279999999050051;2082.45
13;4719;98.614;0.279999999050051;2082.38
20;9194;98.548;0.279999999050051;2082.48
6;6241;null;0.279999999050051;2082.13
13;10000;131.666;0.279999999050051;2031.48
20;10000;206.846;0.279999999050051;2031.48
27;6241;206.846;0.279999999050051;2082.13
34;6279;131.666;0.279999999050051;2082.19
41;6241;132.426;0.279999999050051;2082.13
48;420;131.666;0.279999999050051;-36.8512
55;824;7.968;0.279999999050051;-14.5637
62;5402;16.056;0.279999999050051;2082.5
69;4816;113.574;0.279999999050051;2082.53
76;6241;100.682;0.279999999050051;2082.13
83;6279;131.666;0.279999999050051;2082.19
6;6241;null;0.279999999050051;2082.13
13;6241;131.666;0.2559999979101122;2082.13
20;420;131.666;0.23199999677017336;-36.8512
27;10000;7.968;0.20799999563023452;2031.48
34;5402;206.846;0.1839999944902957;2082.5
41;10000;113.574;0.15999999335035686;-0.892334
48;6241;206.846;0.13599999221041803;2082.13
55;7295;131.666;0.1119999910704792;2082.41
62;10000;152.746;0.08799998993054037;2031.48
69;613;206.846;0.06399998879060154;-23.165
76;10000;11.83;0.039999987650662705;-0.893433
83;485;206.846;0.015999986510723874;-23.0045
90;485;9.27;0.0010000000000000009;-23.0045
97;485;9.27;0.0010000000000000009;-23.0045
104;485;9.27;0.0010000000000000009;-23.0045
111;485;9.27;0.0010000000000000009;-23.0045
118;485;9.27;0.0010000000000000009;-23.0045
125;485;9.27;0.0010000000000000009;-23.0045
132;485;9.27;0.0010000000000000009;-23.0045
139;485;9.27;0.0010000000000000009;-23.0045
146;625;9.27;0.0010000000000000009;-23.1267
153;625;12.07;0.0010000000000000009;-23.1267
160;625;12.07;0.0010000000000000009;-23.1267
167;625;12.07;0.0010000000000000009;-23.1267
174;625;12.07;0.0010000000000000009;-23.1267
181;625;12.07;0.0010000000000000009;-23.1267
188;625;12.07;0.0010000000000000009;-23.1267
195;625;12.07;0.0010000000000000009;-23.1267
202;625;12.07;0.0010000000000000009;-23.1267
209;625;12.07;0.0010000000000000009;-23.1267
216;625;12.07;0.0010000000000000009;-23.1267
223;625;12.07;0.0010000000000000009;-23.1267
230;625;12.07;0.0010000000000000009;-23.1267
237;625;12.07;0.0010000000000000009;-23.1267
244;625;12.07;0.0010000000000000009;-23.1267
251;625;12.07;0.0010000000000000009;-23.1267
